Date,cve_station,cve_parameter,value,unit,nom_estac,longitud,latitud,alt,obs_estac,id_station
09/12/2004,MER,PM2.5,41,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/12/2004,MER,PM2.5,34,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/12/2004,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
27/12/2004,MER,PM2.5,24,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/01/2005,MER,PM2.5,36,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/01/2005,MER,PM2.5,47,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/01/2005,MER,PM2.5,40,2,Merced,-99.119594,19.42461,2245.0,,484090170127
26/01/2005,MER,PM2.5,37,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/02/2005,MER,PM2.5,31,2,Merced,-99.119594,19.42461,2245.0,,484090170127
07/02/2005,MER,PM2.5,28,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/02/2005,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/02/2005,MER,PM2.5,39,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/02/2005,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
03/03/2005,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
09/03/2005,MER,PM2.5,10,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/03/2005,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/03/2005,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
27/03/2005,MER,PM2.5,31,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/04/2005,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/04/2005,MER,PM2.5,30,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/04/2005,MER,PM2.5,39,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/04/2005,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
26/04/2005,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/05/2005,MER,PM2.5,37,2,Merced,-99.119594,19.42461,2245.0,,484090170127
